ZIPCODE,owner,full_address,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
02215,"BOSTON UNIVERSITY TRS OF","168 BAY STATE RD, 02215",42.350192,-71.101201,1,rooftop,168,"Bay State Rd",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02215,"BOSTON UNIVERSITY TRS OF","162 BAY STATE RD, 02215",42.35016,-71.10097,1,rooftop,162,"Bay State Rd",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02215,"BOSTON UNIVERSITY TRS OF","160 BAY STATE RD, 02215",42.350155,-71.100891,1,rooftop,160,"Bay State Rd",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02215,"BOSTON UNIVERSITY TRS OF","92 BAY STATE RD, 02215",42.34985,-71.09706,1,rooftop,92,"Bay State Rd",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02215,"BOSTON UNIVERSITY TRS OF","188 BAY STATE RD, 02215",42.35028,-71.10205,1,rooftop,188,"Bay State Rd",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02215,"BOSTON UNIVERSITY TRS OF","186 BAY STATE RD, 02215",42.35027,-71.10197,1,rooftop,186,"Bay State Rd",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02215,"BOSTON UNIVERSITY TRS OF","184 BAY STATE RD, 02215",42.35026,-71.10189,1,rooftop,184,"Bay State Rd",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02215,"BOSTON UNIVERSITY TRS OF","182 BAY STATE RD, 02215",42.35025,-71.10181,1,rooftop,182,"Bay State Rd",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02215,"BOSTON UNIVERSITY TRS OF","181 BAY STATE RD, 02215",42.35065,-71.10165,1,rooftop,181,"Bay State Rd",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02215,"BOSTON UNIVERSITY TRS OF","176 BAY STATE RD, 02215",42.35023,-71.10156,1,rooftop,176,"Bay State Rd",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02215,"BOSTON UNIVERSITY TRS OF","202 BAY STATE RD, 02215",42.350331,-71.102632,1,rooftop,202,"Bay State Rd",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02215,"BOSTON UNIVERSITY TRS OF","190 BAY STATE RD, 02215",42.35029,-71.10214,1,rooftop,190,"Bay State Rd",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02215,"BOSTON UNIVERSITY TRS OF","196 BAY STATE RD, 02215",42.35031,-71.10238,1,rooftop,196,"Bay State Rd",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02215,"BOSTON UNIVERSITY TRS OF","166 BAY STATE RD, 02215",42.35018,-71.10112,1,rooftop,166,"Bay State Rd",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02215,"BOSTON UNIVERSITY TRS OF","200 BAY STATE RD, 02215",42.35032,-71.10255,1,rooftop,200,"Bay State Rd",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02215,"BOSTON UNIVERSITY TRS OF","124 BAY STATE RD Apt 1, 02215",42.34999,-71.09888,1,rooftop,124,"Bay State Rd",Apt,1,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02215,"BOSTON UNIVERSITY TRS OF","124 BAY STATE RD Apt 2, 02215",42.34999,-71.09888,1,rooftop,124,"Bay State Rd",Apt,2,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02215,"BOSTON UNIVERSITY TRS OF","153 BAY STATE RD, 02215",42.35056,-71.10047,1,rooftop,153,"Bay State Rd",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02215,"BOSTON UNIVERSITY TRS OF","159 BAY STATE RD, 02215",42.35057,-71.10075,1,rooftop,159,"Bay State Rd",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02215,"BOSTON UNIVERSITY TRS OF","118 BAY STATE RD, 02215",42.349959,-71.098627,1,rooftop,118,"Bay State Rd",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02215,"BOSTON UNIVERSITY TRS OF","631 639 COMMONWEALTH AV, 02215",42.349866,-71.101987,1,rooftop,631-639,"Commonwealth Ave",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02215,"BOSTON UNIVERSITY TRS OF","199 BAY STATE RD, 02215",42.35072,-71.10243,1,rooftop,199,"Bay State Rd",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02215,"BOSTON UNIVERSITY TRS OF","161 BAY STATE RD, 02215",42.350579,-71.100838,1,rooftop,161,"Bay State Rd",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02215,"BOSTON UNIVERSITY TRS OF","125 BAY STATE RD, 02215",42.350444,-71.098994,1,rooftop,125,"Bay State Rd",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02215,"BOSTON UNIVERSITY TRS OF","169 BAY STATE RD, 02215",42.350606,-71.101163,1,rooftop,169,"Bay State Rd",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02215,"BOSTON UNIVERSITY TRS OF","179 BAY STATE RD, 02215",42.35064,-71.10157,1,rooftop,179,"Bay State Rd",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02215,"BOSTON UNIVERSITY TRS OF","BAY STATE RD, 02215",42.350419,-71.099727,1,street_center,,"Bay State Rd",,,Boston,MA,"Suffolk County",02215,US,"TIGER/Line® dataset from the US Census Bureau"
02215,"BOSTON UNIVERSITY TRS OF","157 BAY STATE RD, 02215",42.35058,-71.10066,1,rooftop,157,"Bay State Rd",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02215,"BOSTON UNIVERSITY TRS OF","163 BAY STATE RD, 02215",42.350586,-71.10092,1,rooftop,163,"Bay State Rd",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02215,"BOSTON UNIVERSITY TRS OF","185 BAY STATE RD, 02215",42.35067,-71.10182,1,rooftop,185,"Bay State Rd",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02215,"BOSTON UNIVERSITY TRS OF","206 BAY STATE RD, 02215",42.35035,-71.1028,1,rooftop,206,"Bay State Rd",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02215,"BOSTON UNIVERSITY TRS OF","177 BAY STATE RD, 02215",42.35064,-71.10149,1,rooftop,177,"Bay State Rd",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02215,"BOSTON UNIVERSITY TRS OF","152 BAY STATE RD, 02215",42.350109,-71.100577,1,rooftop,152,"Bay State Rd",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02215,"BOSTON UNIVERSITY TRS OF","201 BAY STATE RD, 02215",42.35072,-71.10251,1,rooftop,201,"Bay State Rd",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02215,"BOSTON UNIVERSITY TRS OF","158 BAY STATE RD, 02215",42.35015,-71.10082,1,rooftop,158,"Bay State Rd",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02215,"BOSTON UNIVERSITY TRS OF","154 BAY STATE RD, 02215",42.35011,-71.10068,1,rooftop,154,"Bay State Rd",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02215,"BOSTON UNIVERSITY TRS OF","136 148 BAY STATE RD, 02215",42.35005,-71.09981,1,rooftop,136-148,"Bay State Rd",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02215,"BOSTON UNIVERSITY TRS OF","175 BAY STATE RD, 02215",42.35063,-71.10141,1,rooftop,175,"Bay State Rd",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02215,"BOSTON UNIVERSITY TRS OF","167 BAY STATE RD, 02215",42.3506,-71.10108,1,rooftop,167,"Bay State Rd",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02215,"BOSTON UNIVERSITY TRS OF","208 BAY STATE RD, 02215",42.35036,-71.10288,1,rooftop,208,"Bay State Rd",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02215,"BOSTON UNIVERSITY TRS OF","80 CUMMINGTON ST, 02215",42.348848,-71.104433,1,range_interpolation,80,"Cummington St",,,Boston,MA,"Suffolk County",02215,US,"TIGER/Line® dataset from the US Census Bureau"
02215,"BOSTON UNIVERSITY TRS OF","UNIVERSITY RD, 02215",42.351371,-71.109683,1,street_center,,"University Rd",,,Boston,MA,"Suffolk County",02215,US,"TIGER/Line® dataset from the US Census Bureau"
02215,"BOSTON UNIVERSITY TRS OF","2 CUMMINGTON ST, 02215",42.348872,-71.103005,1,range_interpolation,2,"Cummington St",,,Boston,MA,"Suffolk County",02215,US,"TIGER/Line® dataset from the US Census Bureau"
02116,"BOSTON UNIVERSITY TRST","146 COMMONWEALTH AV, 02116",42.35161,-71.07755,1,rooftop,146,"Commonwealth Ave",,,Boston,MA,"Suffolk County",02116,US,"City of Boston"
02215,"BOSTON UNIVERSITY TRST","BAY STATE RD, 02215",42.350419,-71.099727,1,street_center,,"Bay State Rd",,,Boston,MA,"Suffolk County",02215,US,"TIGER/Line® dataset from the US Census Bureau"
02215,"BOSTON UNIVERSITY TRST","44 BUSWELL ST, 02215",42.34706,-71.1064,1,rooftop,44,"Buswell St",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02215,"BOSTON UNIVERSITY TRST","42 BUSWELL ST, 02215",42.3471,-71.10623,1,rooftop,42,"Buswell St",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02215,"BOSTON UNIVERSITY TRST","48 BUSWELL ST, 02215",42.34702,-71.10655,1,rooftop,48,"Buswell St",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02215,"BOSTON UNIVERSITY TRST","40 BUSWELL ST, 02215",42.34711,-71.10611,1,rooftop,40,"Buswell St",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02215,"BOSTON UNIVERSITY TRST OF","96 BAY STATE RD, 02215",42.34985,-71.09731,1,rooftop,96,"Bay State Rd",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02215,"BOSTON UNIVERSITY TRST OF","67 BAY STATE RD, 02215",42.35021,-71.09588,1,rooftop,67,"Bay State Rd",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
